,O,H,L,C,V,UD,委買張數,委買筆數,委賣張數,委賣筆數,自營cbc,自營cbv,自營csc,自營csv,自營cbsc,自營cbsv,自營cbcoi,自營cbvoi,自營cscoi,自營csvoi,自營cbscoi,自營cbsvoi,自營pbc,自營pbv,自營psc,自營psv,自營pbsc,自營pbsv,自營pbcoi,自營pbvoi,自營pscoi,自營psvoi,自營pbscoi,自營pbsvoi,外資cbc,外資cbv,外資csc,外資csv,外資cbsc,外資cbsv,外資cbcoi,外資cbvoi,外資cscoi,外資csvoi,外資cbscoi,外資cbsvoi,外資pbc,外資pbv,外資psc,外資psv,外資pbsc,外資pbsv,外資pbcoi,外資pbvoi,外資pscoi,外資psvoi,外資pbscoi,外資pbsvoi,自營bc,自營bv,自營sc,自營sv,自營bsc,自營bsv,自營oibc,自營oibv,自營oisc,自營oisv,自營oibsc,自營oibsv,外資bc,外資bv,外資sc,外資sv,外資bsc,外資bsv,外資oibc,外資oibv,外資oisc,外資oisv,外資oibsc,外資oibsv,opwcp,opwp,opmcp,opmp
20160913,8983.95,9014.75,8885.55,8940.83,3804549.0,-6.23,132747.0,788740.0,154536.0,2127796.0,208329,242933,226661,266922,-18332,-23989,112412,489688,192286,506843,-79874,-17155,214340,388649,212659,414576,1681,-25927,145863,612555,149382,476166,-3519,136389,60870,131174,57012,127161,3858,4013,118429,596825,69580,380900,48849,215925,86679,221137,72580,234204,14099,-13067,201958,353803,72825,284623,129133,69180,27292,48584837,25708,45733504,1584,2851333,8459,15019602,8464,15013376,-5,6226,51688,92007072,54183,96533134,-2495,-4526062,90173,160460652,18624,33136915,71549,127323737,62.5,8950,151.0,8900
20160914,8913.11,8965.32,8895.85,8902.3,3253939.0,-38.53,118047.0,726186.0,140976.0,2033655.0,159850,187439,185163,182989,-25313,4451,75447,446307,121178,465334,-45731,-19027,187423,348426,203422,413461,-15999,-65035,124525,516823,116517,400254,8008,116569,41920,91741,37122,83999,4798,7742,113978,564754,67799,350238,46179,214516,61377,154684,58710,149965,2667,4719,191104,348011,73755,300582,117349,47429,18104,32180891,18300,32539830,-196,-358939,10342,18303535,10558,18679685,-216,-376150,42789,76083108,42352,75337725,437,745383,88976,157760970,16806,29792644,72170,127968326,2.3,8900,54.3,8900
20160919,9003.41,9155.38,9003.41,9152.88,4013172.0,250.58,123946.0,800947.0,156922.0,2232854.0,166131,319401,141011,313081,25120,6320,83515,723251,104062,742849,-20547,-19598,188028,212685,227871,227046,-39843,-14361,127287,182934,159106,170388,-31819,12546,68307,271269,59941,234376,8366,36893,127032,979203,72476,639816,54556,339387,54883,108954,48658,124432,6225,-15478,204574,133376,81012,118329,123562,15047,27944,50714870,28877,52445915,-933,-1731045,10423,19019307,11571,21100682,-1148,-2081375,87040,158089691,77859,141627295,9181,16462397,99499,181744660,17831,32576074,81668,149168586,78.0,9150,89.0,9200
20160920,9141.21,9173.46,9130.9,9161.58,3615695.0,8.70,150602.0,947355.0,132798.0,2025629.0,94127,169021,101550,203150,-7423,-34129,86049,688370,113973,738856,-27924,-50486,108716,115482,102704,125462,6012,-9980,140599,184092,166385,181684,-25786,2408,36941,114429,36323,117645,618,-3216,122352,923228,67149,602024,55203,321204,32254,62632,32047,71184,207,-8552,204232,138338,80442,133480,123790,4858,19585,35762752,18411,33609443,1174,2153309,9802,17867274,10151,18466235,-349,-598961,59331,108257644,63517,115996256,-4186,-7738612,103955,189499044,26634,48594427,77321,140904617,54.0,9150,74.9,9200
20160921,9141.92,9228.5,9133.16,9228.5,3787046.0,66.92,145173.0,946561.0,134625.0,2039547.0,188047,537281,169020,418264,19027,119017,54007,315948,43344,304052,10663,11896,143144,229341,179358,247347,-36214,-18007,56672,114515,57894,133544,-1222,-19029,58338,167831,53812,182038,4526,-14208,67838,627050,32418,339999,35420,287051,34875,74589,35772,104216,-897,-29628,58262,128882,43207,152711,15055,-23829,25660,46943459,29263,53586669,-3603,-6643209,5430,9918514,9631,17611681,-4201,-7693167,42037,76749290,36558,66787352,5479,9961939,85211,156130644,10514,19249154,74697,136881490,28.6,9250,170.0,9200
20160922,9265.28,9290.76,9207.41,9235.26,3647934.0,6.76,163442.0,1015076.0,144411.0,2114535.0,107563,195164,97717,186224,9846,8940,73490,330697,53114,303267,20376,27430,122814,175560,118457,189393,4357,-13832,75931,121242,72810,141111,3121,-19869,43037,130098,39521,133578,3516,-3480,73868,621284,34922,339267,38946,282017,48184,108701,39505,109391,8679,-690,68341,108397,44631,126172,23710,-17775,15294,28127160,14403,26477480,891,1649680,6569,12031767,9856,18065340,-3287,-6033573,34856,64113537,35186,64724582,-330,-611044,85484,157009541,10904,20012872,74580,136996669,116.5,9250,252.0,9200
20160923,9240.25,9284.62,9228.66,9284.62,3204100.0,49.36,160296.0,985516.0,143984.0,2082329.0,89445,203283,79298,164278,10147,39005,84747,388401,53944,322982,30803,65419,95528,132530,110270,161674,-14742,-29144,75277,101196,86847,133347,-11570,-32151,29085,103196,28340,101247,745,1949,75049,677216,35307,373426,39742,303790,30981,71293,26322,70475,4659,818,73234,92184,44859,101455,28375,-9271,10710,19758927,11510,21237289,-800,-1478361,7080,13037785,11145,20542967,-4065,-7505182,29703,54783702,24501,45189434,5202,9594268,89500,165264365,9569,17653688,79931,147610677,97.0,9300,155.0,9300
20160926,9229.34,9229.34,9189.49,9194.52,2594439.0,-90.10,147060.0,953080.0,133103.0,2020851.0,104042,157200,112224,175495,-8182,-18295,92045,307667,69356,263808,22689,43859,108013,167127,104766,184219,3247,-17092,88801,151235,97096,225773,-8295,-74538,32711,81954,30872,90301,1839,-8347,77850,568136,36271,309309,41579,258827,40234,110860,33358,97728,6876,13133,79334,134205,44098,136659,35236,-2454,10576,19393146,12304,22567146,-1728,-3174000,6029,10995641,11823,21596244,-5794,-10600603,26801,49162720,28627,52515912,-1826,-3353192,88681,162261060,10622,19419483,78059,142841577,73.0,9200,142.0,9200
20160929,9241.61,9303.13,9238.49,9270.9,3692466.0,76.38,133850.0,882348.0,138566.0,2041283.0,195350,343449,180745,271203,14605,72246,81153,395508,43554,292202,37599,103306,192323,225530,230479,278113,-38156,-52583,64727,104954,98619,191814,-33892,-86860,39524,119244,29687,108004,9837,11240,76191,677226,33419,364809,42772,312417,43244,102667,33637,96076,9607,6592,79204,114221,43234,100345,35970,13876,19551,36190802,22624,41896565,-3073,-5705763,5240,9649043,14003,25864219,-8763,-16215176,43320,80201227,35971,66579639,7349,13621588,94589,174944188,9110,16830539,85479,158113649,37.1,9250,13.2,9300
20160930,9240.44,9240.65,9160.91,9166.85,3389531.0,-104.05,148115.0,975600.0,135538.0,2140461.0,116336,188574,118988,226931,-2652,-38357,99029,309686,64153,267432,34876,42254,178764,311164,149487,288490,29277,22674,124312,253286,128952,398276,-4640,-144990,39003,121512,37104,123027,1899,-1515,79744,551588,35093,296817,44651,254771,60977,171586,48357,168837,12620,2750,94456,194268,45820,172177,48636,22091,16164,29619305,15961,29234122,203,385183,5850,10640003,14320,26102404,-8470,-15462401,39049,71552743,43949,80530183,-4900,-8977441,90805,165744296,10299,18779494,80506,146964802,114.0,9150,118.5,9200
20161003,9219.52,9256.58,9212.38,9234.2,2988665.0,67.35,132491.0,766163.0,153743.0,1939361.0,79566,149728,79702,170861,-136,-21133,109150,369931,74446,347843,34704,22088,117526,144655,116180,163071,1346,-18416,138979,189350,142317,298143,-3338,-108793,30932,92788,31286,97186,-354,-4397,79681,618601,35368,338785,44313,279816,33712,80785,33712,86694,0,-5908,96111,153327,47471,139945,48640,13382,12051,22160902,11139,20484216,912,1676686,6253,11450893,13857,25429080,-7604,-13978187,30547,56164049,28997,53311954,1550,2852095,92641,170258681,10462,19205465,82179,151053216,94.5,9250,221.0,9200
20161004,9228.66,9287.77,9224.45,9287.77,3019330.0,53.57,139535.0,810471.0,150055.0,2018852.0,93912,181827,79442,160238,14470,21589,124730,443006,75597,395612,49133,47394,112531,119853,121033,132821,-8502,-12967,138525,147661,150432,205848,-11907,-58187,31081,102686,31730,104949,-649,-2263,79605,684154,35920,380413,43685,303741,32175,66284,29939,70841,2236,-4557,98516,127948,47639,117063,50877,10885,13269,24494838,12392,22872590,877,1622248,7267,13394728,13858,25589620,-6591,-12194892,27733,51175902,23500,43364734,4233,7811167,96802,179025159,10305,19034282,86497,159990877,60.5,9300,121.0,9300
20161005,9260.69,9276.13,9244.41,9272.28,2985218.0,-15.49,148564.0,983297.0,142798.0,2068055.0,92162,164009,88608,129959,3554,34050,91901,386812,55311,333800,36590,53012,106684,128486,118852,138188,-12168,-9702,86517,141360,106723,208370,-20206,-67010,24102,73170,24394,77330,-292,-4160,78063,665531,36308,374451,41755,291080,22276,48516,20019,51092,2257,-2576,90214,132742,47128,123359,43086,9383,10667,19698752,11424,21098954,-757,-1400203,5303,9747313,12595,23220175,-7292,-13472862,23184,42836070,22451,41481645,733,1354425,98243,181436384,11121,20515450,87122,160920934,10.6,9250,39.6,9300
20161006,9263.4,9284.31,9242.83,9284.31,3114744.0,12.03,147088.0,857565.0,142669.0,2093100.0,70789,123308,75253,169762,-4464,-46454,104255,401596,72220,393240,32035,8356,100788,137844,88755,143133,12033,-5289,105846,135124,113964,189680,-8118,-54556,22943,82935,26140,102932,-3197,-19997,79682,678108,41165,402910,38517,275198,28928,68366,24058,71828,4870,-3463,97651,125105,49653,119009,47998,6096,12148,22445464,11520,21279632,628,1165832,5844,10767727,12449,22996377,-6605,-12228650,28813,53238451,28798,53213996,15,24456,98338,181983305,11021,20370201,87317,161613104,103.5,9300,134.0,9300
20161007,9289.66,9289.95,9249.06,9265.81,2951454.0,-18.50,151074.0,881054.0,140757.0,1845028.0,50889,84121,43844,74898,7045,9223,114045,398668,74859,383556,39186,15112,67145,84337,71880,112219,-4735,-27881,118517,146223,131365,229293,-12848,-83070,15576,53352,14862,58036,714,-4684,81912,667659,42666,402058,39246,265601,20694,49100,21393,60459,-699,-11359,103088,130586,55813,136173,47275,-5587,6145,11363000,7035,13012879,-890,-1649878,6669,12280066,14074,25985367,-7405,-13705301,21467,39716882,20610,38126050,857,1590832,100800,186414062,12649,23359571,88151,163054491,103.5,9250,103.0,9300
20161011,9311.79,9327.71,9167.72,9219.82,4102986.0,-45.99,142189.0,982344.0,144819.0,1949120.0,186414,271335,186894,255676,-480,15659,118228,310901,79494,296006,38734,14895,231196,358813,218995,355263,12201,3550,131011,181423,131645,279709,-634,-98286,57517,157782,50993,152100,6524,5682,88173,580169,42396,337671,45777,242498,77397,206558,66924,200702,10473,5857,113083,158316,55340,153343,57743,4973,25662,47375823,24712,45633099,950,1742724,7155,13089335,13661,25054295,-6506,-11964960,62365,115225380,68101,125807739,-5736,-10582359,103884,190812561,21202,38911172,82682,151901389,53.0,9200,99.5,9200
20161012,9201.55,9258.69,9166.58,9252.6,3346664.0,32.78,132592.0,804360.0,147947.0,2257300.0,145635,184264,125020,149849,20615,34415,98259,369641,58817,319665,39442,49976,159076,185873,175640,205637,-16564,-19763,97909,130473,110504,149613,-12595,-19140,38113,103438,33660,88658,4453,14780,88608,661589,41065,379265,47543,282324,43379,86018,35835,89613,7544,-3595,113566,118353,55867,112995,57699,5358,17489,32267833,16461,30337502,1028,1930331,6182,11393778,11917,22011828,-5735,-10618050,41123,75762539,32541,59994778,8582,15767761,110838,205104953,19136,35383823,91702,169721130,3.2,9250,53.1,9300
20161013,9268.22,9285.05,9187.78,9219.17,3312075.0,-33.43,133923.0,895426.0,146199.0,2357290.0,95591,112215,114040,210203,-18449,-97989,110145,298901,89251,351318,20894,-52417,139604,194409,117615,153817,21989,40593,114908,211406,105558,189328,9350,22078,37732,117855,42487,135866,-4755,-18011,89255,587567,46467,347269,42788,240298,68445,152308,42347,125682,26098,26626,137342,168708,53536,132004,83806,36704,19335,35624667,15031,27688564,4304,7936103,10513,19289901,11942,21921820,-1429,-2631919,42779,78783193,53379,98342660,-10600,-19559467,105110,193254299,24413,44861680,80697,148392619,128.0,9200,212.0,9200
20161014,9198.26,9216.63,9149.87,9165.17,3200730.0,-54.00,132351.0,803705.0,143164.0,2136118.0,86831,122859,89999,120477,-3168,2381,110862,269662,93035,296501,17827,-26839,91797,163916,88831,153840,2966,10075,121874,241155,109704,210156,12170,30999,34319,93598,33814,99436,505,-5838,92787,551135,49466,321726,43321,229409,43212,119259,37299,116640,5913,2619,144545,186924,54834,147128,89711,39796,14720,27025135,15079,27684230,-359,-659095,10771,19699396,12739,23306142,-1968,-3606746,44594,81888440,45882,84276775,-1288,-2388335,103073,188800783,23658,43315955,79415,145484828,108.5,9150,109.5,9200
20161017,9150.67,9182.67,9074.99,9176.22,3064942.0,11.05,122547.0,810569.0,139781.0,2273323.0,147866,195341,164918,213348,-17052,-18007,118560,262996,117677,318454,883,-55458,158995,275798,138472,253719,20523,22079,140581,234719,107736,192818,32845,41901,64539,167024,65243,158897,-704,8126,94245,553248,51568,319227,42677,234021,79798,219109,68327,219840,11471,-731,154573,176350,53374,144487,101199,31863,31369,57259179,27689,50507282,3680,6751897,12665,23183675,11739,21455831,926,1727844,97927,178680180,100279,183085458,-2352,-4405278,109666,200694176,32807,60076157,76859,140618019,90.5,9200,188.0,9200
20161018,9175.07,9222.58,9157.4,9222.58,3037761.0,46.36,131490.0,850585.0,151939.0,2378486.0,129986,197345,94463,147594,35523,49751,136148,328842,99703,340227,36445,-11385,117032,153471,136981,163468,-19949,-9997,133567,161140,120768,152579,12799,8561,34528,102199,29325,90535,5203,11664,96585,615547,48645,354053,47940,261494,33110,69454,30113,83711,2997,-14257,155186,129360,51057,125753,104129,3607,25638,47107874,27905,51273015,-2267,-4165142,12180,22401532,13741,25258789,-1561,-2857257,70368,129217752,65694,120719507,4674,8498245,110510,203300944,28721,52855834,81789,150445110,51.0,9200,168.0,9200
20161019,9227.98,9298.87,9226.46,9283.99,3406952.0,61.41,142800.0,936188.0,144876.0,2438984.0,175673,435410,152950,263954,22723,171456,81596,314769,33443,235937,48153,78832,143974,162442,205108,209810,-61134,-47368,53786,89006,66221,146957,-12435,-57951,45442,129859,38688,111138,6754,18721,72678,624960,30883,316661,41795,308299,34832,55365,31212,72036,3620,-16670,61130,95141,35642,117149,25488,-22008,32025,59327259,35227,65275634,-3202,-5948375,3816,7032473,12016,22205410,-8200,-15172937,44524,82405886,39148,72484757,5376,9921129,95396,176408024,11427,21114320,83969,155293704,19.6,9300,66.5,9300
20161020,9288.49,9331.89,9279.15,9317.24,3498769.0,33.25,145543.0,923297.0,147580.0,2339738.0,81172,165484,74350,190196,6822,-24712,109931,375725,55014,313899,54917,61826,117792,168789,112316,215454,5476,-46665,93321,110465,100254,200732,-6933,-90267,26022,92842,28617,107965,-2595,-15123,73672,646137,34496,342634,39176,303503,31630,79745,34966,100213,-3336,-20468,65234,83666,43055,123341,22179,-39675,13259,24582698,13312,24683872,-53,-101174,4277,7908307,12278,22758725,-8001,-14850418,30340,56259793,28785,53372613,1555,2887180,97625,181073012,12322,22838109,85303,158234903,117.0,9300,183.0,9300
20161021,9322.55,9348.09,9292.53,9306.57,3751825.0,-10.67,145490.0,973779.0,149166.0,2461105.0,70791,148200,63452,121405,7339,26795,118984,368216,56725,293952,62259,74264,106648,175111,105648,190836,1000,-15726,105393,118044,111278,225762,-5885,-107718,27166,82699,26113,85955,1053,-3256,78205,631608,37977,337963,40228,293645,38955,94708,37300,109315,1655,-14607,73514,91918,49665,146965,23849,-55047,14834,27535431,15815,29344775,-981,-1809344,4371,8073740,13142,24329758,-8771,-16256018,33847,62830491,32474,60267009,1373,2563482,99541,184367258,12816,23722153,86725,160645105,101.5,9300,169.0,9300
20161024,9333.94,9343.57,9308.53,9322.5,3026057.0,15.93,137449.0,797516.0,151959.0,2351664.0,61988,123955,59019,123100,2969,855,123510,415902,58270,334930,65240,80972,90506,121548,81110,112916,9396,8632,105438,100856,102216,150096,3222,-49240,26426,84443,25728,84749,698,-306,79180,673552,38213,365265,40967,308287,28234,63095,26363,63666,1871,-571,75109,76361,49386,115482,25723,-39121,12026,22363175,11334,21077662,692,1285513,4914,9122963,12834,23875604,-7920,-14752641,32266,60014495,28973,53884655,3293,6129840,102465,190705919,12146,22590018,90319,168115901,80.5,9300,153.5,9300
20161025,9338.09,9399.97,9334.8,9385.65,3543064.0,63.15,139611.0,824279.0,151337.0,2305950.0,101102,226541,92945,179994,8157,46547,135631,553515,62100,396393,73531,157122,113743,136443,120155,124143,-6412,12300,112199,90066,115343,94560,-3144,-4494,36814,125147,30960,110577,5854,14570,82781,761463,35955,405903,46826,355560,32161,65946,27679,63047,4482,2899,81189,65828,50986,84825,30203,-18997,14552,27195116,15064,28175497,-512,-980381,6219,11634388,13856,25964797,-7637,-14330409,31070,58091915,28071,52473565,2999,5618350,105662,198057305,12554,23516405,93108,174540900,44.5,9400,125.5,9400
20161026,9355.66,9372.74,9338.84,9362.25,3148066.0,-23.40,148782.0,979264.0,151578.0,2433624.0,108259,176503,114872,181519,-6613,-5015,102178,385087,42358,277690,59820,107397,115099,150037,140946,176067,-25847,-26029,74772,104591,75130,138402,-358,-33811,33189,85388,28970,80014,4219,5374,81326,691490,34583,360617,46743,330873,35188,77703,26788,64121,8400,13581,76856,83579,44699,93741,32157,-10162,12006,22424860,12681,23683237,-675,-1258377,3383,6289449,11769,21954625,-8386,-15665176,22362,41774178,28556,53347706,-6194,-11573528,100396,187362110,13468,25119297,86928,162242813,12.7,9350,37.1,9400
20161027,9363.9,9370.32,9286.86,9299.55,3419415.0,-62.70,142939.0,871705.0,151177.0,2400225.0,92049,144559,98428,187180,-6379,-42621,110215,329496,56828,283426,53387,46070,109702,182081,92801,171954,16901,10127,98885,136460,82366,174896,16519,-38436,33521,102006,32651,102735,870,-728,84757,639151,37151,334618,47606,304533,49156,110795,33337,97946,15819,12849,91745,104972,43789,106415,47956,-1443,17159,31907416,16067,29874766,1092,2032650,3531,6534114,10888,20209111,-7357,-13674997,34824,64778973,38951,72450057,-4127,-7671084,96916,179976924,14176,26311021,82740,153665903,104.0,9300,152.0,9300
20161028,9307.39,9320.57,9276.71,9306.92,3074168.0,7.37,141995.0,896120.0,154406.0,2329326.0,63531,108949,62718,107754,813,1195,114968,326940,60679,281041,54289,45899,87764,120904,87465,134784,299,-13881,106526,139531,89728,189317,16798,-49786,23547,68771,21298,65455,2249,3315,87610,634718,37675,329965,49935,304753,35671,84000,23478,65699,12193,18301,104979,130296,44851,114176,60128,16120,10675,19810676,10634,19732951,41,77725,3373,6235536,10296,19092533,-6923,-12856997,26504,49208018,26722,49611425,-218,-403408,96548,179123330,13990,25941510,82558,153181820,87.5,9300,142.0,9300
20161031,9283.2,9314.34,9194.48,9290.12,2916573.0,-16.80,129057.0,876661.0,134055.0,2290843.0,124591,191954,130391,177245,-5800,14709,116099,359647,67670,281390,48429,78257,156376,296133,157600,263573,-1224,32561,108300,142107,92703,171014,15597,-28907,47051,121157,42202,117728,4849,3429,93545,663862,38829,342966,54716,320896,70213,185902,48138,144142,22075,41761,125235,156406,43003,110963,82232,45443,20748,38332966,21566,39859957,-818,-1526991,3172,5865683,10744,19936842,-7572,-14071159,40390,74632238,39709,73332808,681,1299430,95438,177159684,12781,23710650,82657,153449034,64.5,9300,135.0,9300
20161101,9272.3,9289.12,9236.82,9272.7,2483354.0,-17.42,131835.0,773563.0,141593.0,2184490.0,96792,123166,102904,179378,-6112,-56212,118844,338981,76595,320656,42249,18325,122550,193694,112560,161504,9990,32190,117190,158638,91649,153272,25541,5366,31903,89149,29941,81544,1962,7605,96616,672552,39935,344582,56681,327970,37958,103720,31741,84164,6217,19556,131791,177285,43378,114662,88413,62623,15153,28077002,13344,24714999,1809,3362003,4290,7937362,10041,18618787,-5751,-10681425,25804,47814782,28998,53720497,-3194,-5905715,92871,172281790,13516,25059709,79355,147222081,61.2,9250,44.0,9300
20161102,9230.23,9230.23,9139.04,9139.04,3165351.0,-133.66,136742.0,933827.0,141068.0,2162442.0,188392,229849,246465,282009,-58073,-52160,107751,256610,77925,293927,29826,-37317,222878,567186,211077,432926,11801,134259,92644,259485,71577,223753,21067,35732,44940,98693,42082,102970,2858,-4277,95980,546374,41977,285164,54003,261210,78703,227261,66991,210466,11712,16795,131343,322972,43527,189010,87816,133962,26880,49324657,25226,46294938,1654,3029719,4284,7827752,8341,15261699,-4057,-7433947,36583,67153707,44686,82041961,-8103,-14888254,87488,160195640,16505,30208992,70983,129986648,1.2,9150,200.0,9100
20161103,9126.29,9154.19,9067.27,9067.27,3190002.0,-71.77,116204.0,718627.0,143264.0,2161331.0,100202,181651,102079,191581,-1877,-9929,116775,230375,88783,259756,27992,-29381,96413,254145,92444,269721,3969,-15577,106515,332530,81494,308133,25021,24397,29440,86374,29579,97191,-139,-10817,96617,470779,42711,249955,53906,220824,41838,146802,38525,162502,3313,-15700,138274,394387,47125,240286,91149,154101,19379,35314155,18862,34381956,517,932200,3468,6285815,7171,13018776,-3703,-6732961,33101,60339553,38700,70543861,-5599,-10204307,84565,153654152,19321,35091550,65244,118562602,174.0,9050,165.0,9100
20161104,9065.11,9098.88,9048.21,9068.15,2729357.0,0.88,113621.0,679287.0,141060.0,2125805.0,69438,122561,86517,141670,-17079,-19109,114055,223200,103149,264476,10906,-41276,79681,214217,82231,217737,-2550,-3520,110406,351724,88001,328701,22405,23023,25433,69067,23718,72305,1715,-3238,101753,456129,46130,245651,55623,210478,53792,156721,34932,126134,18860,30587,163739,477027,53722,273788,110017,203239,11059,20051143,10057,18229237,1002,1821907,3577,6468844,6337,11472601,-2760,-5003757,28155,51069980,28534,51755983,-379,-686003,84175,152528229,19424,35182258,64751,117345971,163.0,9050,160.0,9100
20161107,9102.97,9191.67,9102.97,9189.84,2817899.0,121.69,115062.0,674573.0,140106.0,2182287.0,109202,240334,108264,217845,938,22489,124647,345387,112938,401989,11709,-56602,117881,201293,119309,225823,-1428,-24530,127470,228418,106544,220864,20926,7554,28062,83531,25556,97324,2506,-13793,109872,583259,51765,343296,58107,239963,48317,93319,32822,84222,15495,9098,177669,280648,52172,169076,125497,111572,17573,32203260,17672,32411418,-99,-208158,4106,7527865,6945,12757888,-2839,-5230023,30323,55595762,26483,48557445,3840,7038317,86617,159239368,18096,33246809,68521,125992559,140.0,9200,178.0,9200
20161108,9214.95,9230.2,9165.0,9217.43,3062643.0,27.59,141633.0,951363.0,136833.0,2234589.0,109829,205151,108628,189379,1201,15772,133030,357213,120080,401748,12950,-44535,117767,189181,127966,200334,-10199,-11153,132511,207652,121804,205692,10707,1960,47517,119017,35344,121188,12173,-2171,124185,614373,53849,368453,70336,245920,65000,119951,37325,107704,27675,12247,206738,266429,53573,162238,153165,104191,16886,31064029,15861,29181837,1025,1882192,5303,9752386,7063,13012194,-1760,-3259808,30735,56545013,30775,56623779,-40,-78766,87311,160977572,18605,34280845,68706,126696727,123.0,9200,166.0,9200
20161109,9252.27,9296.86,8926.6,8943.2,6024418.0,-274.23,137315.0,898424.0,144022.0,2216409.0,409904,780803,510316,801599,-100412,-20796,100774,187415,103528,198719,-2754,-11304,524221,1443125,545095,1444071,-20874,-946,89131,446667,94066,559927,-4935,-113260,171283,376119,176895,419057,-5612,-42938,95348,344590,58875,199879,36473,144711,253360,909444,243328,917978,10032,-8534,159330,738710,57839,426287,101491,312423,70204,127304053,69519,126157916,685,1146138,6822,12154647,7967,14200096,-1145,-2045449,143771,260827510,146899,266556995,-3128,-5729485,86161,153729784,20697,36914965,65464,116814819,10.2,8950,243.0,8900
20161110,9070.64,9179.18,9070.64,9152.18,4483783.0,208.98,133808.0,806419.0,204217.0,2613209.0,148596,253946,143933,299612,4663,-45666,108293,291603,106042,342184,2251,-50581,151206,201707,157548,206859,-6342,-5152,105630,169366,116446,183646,-10816,-14280,51247,180151,53429,180890,-2182,-739,96543,486630,62280,314688,34263,171942,60012,121959,40000,111220,20012,10739,178576,188631,56962,133701,121614,54930,19858,36388701,17824,32675738,2034,3712963,7145,13083861,6187,11334588,958,1749273,53477,98018861,51787,94956644,1690,3062217,86329,158328031,19489,35737420,66840,122590611,134.0,9150,132.0,9200
20161111,9067.65,9067.65,8949.38,8957.76,5040498.0,-194.42,156660.0,980321.0,148771.0,2273089.0,162943,242171,198116,235797,-35173,6374,109051,202940,141996,218750,-32945,-15810,180038,508217,180591,478285,-553,29932,106068,422145,117441,447802,-11373,-25657,55900,146529,65534,172980,-9634,-26451,99143,341293,74636,215635,24507,125658,99329,344951,82906,325925,16423,19026,197819,592937,59704,336153,138115,256784,30723,55211797,31046,55791356,-323,-579559,7675,13736516,6790,12154401,885,1582115,66159,118869611,72687,130649202,-6528,-11779591,84082,150656749,24231,43415539,59851,107241210,151.0,8950,147.0,9000
20161114,8955.27,8991.94,8879.69,8940.4,4600564.0,-17.36,129669.0,827598.0,153108.0,2454438.0,181211,260255,186961,265159,-5750,-4904,113407,198730,151875,208421,-38468,-9691,167338,371891,155432,383752,11906,-11861,121364,418880,120903,450552,461,-31672,48818,127327,48255,121704,563,5623,104286,350362,79220,208018,25066,142344,68000,190053,62835,182584,5165,7469,202245,580409,58939,339213,143306,241196,29832,53291825,29571,52799106,261,492718,8212,14677469,7123,12723180,1089,1954289,84614,151058827,81917,146347711,2697,4711116,87259,155996957,25071,44826305,62188,111170652,116.0,8950,373.0,8900
20161115,8927.92,8981.05,8923.36,8931.03,4071502.0,-9.37,133883.0,778523.0,160167.0,2610863.0,133464,165104,129636,174939,3828,-9835,119412,183139,154010,195176,-34598,-12037,114744,196820,125275,252262,-10531,-55441,117506,387281,127602,469093,-10096,-81812,41615,102230,36118,94870,5497,7360,107873,336545,77409,182118,30464,154427,53253,187802,48867,172373,4386,15430,213077,613172,65276,384923,147801,228249,22317,39902877,24903,44522803,-2586,-4619926,7004,12492301,8654,15436661,-1650,-2944360,75127,134344140,70573,126216009,4554,8128131,94453,168518245,27917,49828167,66536,118690078,67.0,8950,360.0,8900
20161116,8955.76,9032.31,8955.76,8962.22,3873284.0,31.19,138602.0,835943.0,167318.0,2554751.0,149344,253022,169411,264634,-20067,-11612,55243,159923,47170,191274,8073,-31351,148441,215527,166088,240451,-17647,-24924,46939,160614,59544,190846,-12605,-30232,37647,88129,32411,80195,5236,7934,75689,345810,29181,183373,46508,162437,34175,89080,31609,82770,2566,6310,102452,330063,43279,230877,59173,99186,30414,54691910,26640,47910463,3774,6781447,6304,11282078,5317,9510533,987,1771545,37109,66647496,39279,70561903,-2170,-3914406,76657,137288626,14165,25359915,62492,111928711,34.2,8950,16.2,9000
20161117,8984.57,8998.23,8936.3,8995.26,3565620.0,33.04,136731.0,928991.0,153141.0,2641316.0,77912,143619,77937,158606,-25,-14987,70366,195174,62456,244624,7910,-49450,92609,160417,88301,202157,4308,-41740,76277,177657,84577,241381,-8300,-63724,27094,88179,26167,87428,927,752,79918,359380,32500,197431,47418,161949,36196,121064,30105,99526,6091,21538,111726,338526,46450,229573,65276,108953,12676,22664387,12605,22531946,71,132441,6331,11331920,5392,9647220,939,1684700,34435,61574718,33562,60013320,873,1561397,78125,139979395,15094,27034728,63031,112944667,123.0,9000,207.0,9000
20161118,8991.5,9025.98,8958.22,9008.79,3713665.0,13.53,138933.0,905655.0,152756.0,2938224.0,76651,154853,70511,135292,6140,19561,79554,229365,65484,263728,14070,-34363,94269,153490,96845,167678,-2576,-14188,84889,168083,95875,228557,-10986,-60474,29370,96421,25807,86076,3563,10345,84036,383637,33054,205555,50982,178082,33628,99712,29562,86767,4066,12946,116264,308639,46933,201070,69331,107569,12452,22323517,13228,23726937,-776,-1403420,6067,10890564,5840,10480383,227,410181,35076,62885410,32322,57925182,2754,4960229,82391,148067446,16511,29663183,65880,118404263,101.5,9000,189.5,9000
